,Unnamed: 0,County,netMigration,Year,netMigration2,netMigration3
0,0,Alameda,3.0,2014,3.0,0.0
1,1,Alpine,4.6,2013,4.6,0.0
2,2,Amador,4.0,2014,4.0,0.0
3,3,Butte,4.9,2014,4.9,0.0
4,4,Calaveras,4.0,2014,4.0,0.0
5,5,Colusa,12.9,2014,12.9,0.0
6,6,Contra Costa,3.2,2014,3.2,0.0
7,7,Del Norte,5.5,2014,5.5,0.0
8,8,El Dorado,3.6,2014,3.6,0.0
9,9,Fresno,7.5,2014,7.5,0.0
10,10,Glenn,6.5,2014,6.5,0.0
11,11,Humboldt,3.6,2014,3.6,0.0
12,12,Imperial,18.1,2014,18.1,0.0
13,13,Inyo,3.9,2014,3.9,0.0
14,14,Kern,8.0,2014,8.0,0.0
15,15,Kings,7.7,2014,7.7,0.0
16,16,Lake,5.2,2014,5.2,0.0
17,17,Lassen,4.8,2014,4.8,0.0
18,18,Los Angeles,4.7,2014,4.7,0.0
19,19,Madera,7.0,2014,7.0,0.0
20,20,Marin,2.4,2014,2.4,0.0
21,21,Mariposa,5.3,2014,5.3,0.0
22,22,Mendocino,3.9,2014,3.9,0.0
23,23,Merced,8.3,2014,8.3,0.0
24,24,Modoc,7.5,2014,7.5,0.0
25,25,Mono,3.8,2014,3.8,0.0
26,26,Monterey,6.3,2014,6.3,0.0
27,27,Napa,2.9,2014,2.9,0.0
28,28,Nevada,3.5,2014,3.5,0.0
29,29,Orange,2.9,2014,2.9,0.0
30,30,Placer,3.1,2014,3.1,0.0
31,31,Plumas,7.5,2014,7.5,0.0
32,32,Riverside,4.4,2014,4.4,0.0
33,33,Sacramento,3.8,2014,3.8,0.0
34,34,San Benito,5.1,2014,5.1,0.0
35,35,San Bernardino,4.0,2014,4.0,0.0
36,36,San Diego,3.3,2014,3.3,0.0
37,37,San Francisco,2.4,2014,2.4,0.0
38,38,San Joaquin,6.0,2014,6.0,0.0
39,39,San Luis Obispo,2.9,2014,2.9,0.0
40,40,San Mateo,2.2,2014,2.2,0.0
41,41,Santa Barbara,3.9,2014,3.9,0.0
42,42,Santa Clara,2.6,2014,2.6,0.0
43,43,Santa Cruz,4.9,2014,4.9,0.0
44,44,Shasta,4.9,2014,4.9,0.0
45,45,Sierra,6.0,2014,6.0,0.0
46,46,Siskiyou,6.7,2014,6.7,0.0
47,47,Solano,3.9,2014,3.9,0.0
48,48,Sonoma,2.7,2014,2.7,0.0
49,49,Stanislaus,6.4,2014,6.4,0.0
50,50,Sutter,7.5,2014,7.5,0.0
51,51,Tehama,5.7,2014,5.7,0.0
52,52,Trinity,5.7,2014,5.7,0.0
53,53,Tulare,9.6,2014,9.6,0.0
54,54,Tuolumne,4.6,2014,4.6,0.0
55,55,Ventura,3.8,2014,3.8,0.0
56,56,Yolo,4.2,2014,4.2,0.0
57,57,Yuba,6.4,2014,6.4,0.0
