,Unnamed: 0,County,netMigration,Year,netMigration2,netMigration3
0,0,Alameda,4.3,2014,4.3,0.0
1,1,Alpine,6.5,2013,6.5,0.0
2,2,Amador,5.9,2014,5.9,0.0
3,3,Butte,6.6,2014,6.6,0.0
4,4,Calaveras,5.7,2014,5.7,0.0
5,5,Colusa,15.5,2014,15.5,0.0
6,6,Contra Costa,4.5,2014,4.5,0.0
7,7,Del Norte,7.5,2014,7.5,0.0
8,8,El Dorado,5.1,2014,5.1,0.0
9,9,Fresno,9.5,2014,9.5,0.0
10,10,Glenn,8.3,2014,8.3,0.0
11,11,Humboldt,4.9,2014,4.9,0.0
12,12,Imperial,24.1,2014,24.1,0.0
13,13,Inyo,5.3,2014,5.3,0.0
14,14,Kern,10.4,2014,10.4,0.0
15,15,Kings,10.0,2014,10.0,0.0
16,16,Lake,6.7,2014,6.7,0.0
17,17,Lassen,6.9,2014,6.9,0.0
18,18,Los Angeles,5.3,2014,5.3,0.0
19,19,Madera,9.2,2014,9.2,0.0
20,20,Marin,3.3,2014,3.3,0.0
21,21,Mariposa,6.9,2014,6.9,0.0
22,22,Mendocino,5.3,2014,5.3,0.0
23,23,Merced,10.6,2014,10.6,0.0
24,24,Modoc,7.8,2014,7.8,0.0
25,25,Mono,5.4,2014,5.4,0.0
26,26,Monterey,7.6,2014,7.6,0.0
27,27,Napa,4.3,2014,4.3,0.0
28,28,Nevada,4.8,2014,4.8,0.0
29,29,Orange,4.0,2014,4.0,0.0
30,30,Placer,4.5,2014,4.5,0.0
31,31,Plumas,9.7,2014,9.7,0.0
32,32,Riverside,6.1,2014,6.1,0.0
33,33,Sacramento,5.4,2014,5.4,0.0
34,34,San Benito,6.7,2014,6.7,0.0
35,35,San Bernardino,5.8,2014,5.8,0.0
36,36,San Diego,4.7,2014,4.7,0.0
37,37,San Francisco,3.3,2014,3.3,0.0
38,38,San Joaquin,8.1,2014,8.1,0.0
39,39,San Luis Obispo,4.3,2014,4.3,0.0
40,40,San Mateo,3.0,2014,3.0,0.0
41,41,Santa Barbara,5.1,2014,5.1,0.0
42,42,Santa Clara,3.8,2014,3.8,0.0
43,43,Santa Cruz,7.0,2014,7.0,0.0
44,44,Shasta,7.0,2014,7.0,0.0
45,45,Sierra,7.6,2014,7.6,0.0
46,46,Siskiyou,8.5,2014,8.5,0.0
47,47,Solano,5.5,2014,5.5,0.0
48,48,Sonoma,4.0,2014,4.0,0.0
49,49,Stanislaus,8.6,2014,8.6,0.0
50,50,Sutter,9.7,2014,9.7,0.0
51,51,Tehama,7.1,2014,7.1,0.0
52,52,Trinity,7.1,2014,7.1,0.0
53,53,Tulare,11.2,2014,11.2,0.0
54,54,Tuolumne,6.2,2014,6.2,0.0
55,55,Ventura,5.2,2014,5.2,0.0
56,56,Yolo,5.9,2014,5.9,0.0
57,57,Yuba,8.6,2014,8.6,0.0
