,Unnamed: 0,County,netMigration,Year,netMigration2,netMigration3
0,0,Alameda,8.7,2014,8.7,0.0
1,1,Alpine,11.2,2013,11.2,0.0
2,2,Amador,12.3,2014,12.3,0.0
3,3,Butte,12.2,2014,12.2,0.0
4,4,Calaveras,12.4,2014,12.4,0.0
5,5,Colusa,20.7,2014,20.7,0.0
6,6,Contra Costa,8.9,2014,8.9,0.0
7,7,Del Norte,13.5,2014,13.5,0.0
8,8,El Dorado,10.2,2014,10.2,0.0
9,9,Fresno,15.1,2014,15.1,0.0
10,10,Glenn,14.2,2014,14.2,0.0
11,11,Humboldt,9.6,2014,9.6,0.0
12,12,Imperial,27.4,2014,27.4,0.0
13,13,Inyo,9.1,2014,9.1,0.0
14,14,Kern,13.1,2014,13.1,0.0
15,15,Kings,14.9,2014,14.9,0.0
16,16,Lake,12.8,2014,12.8,0.0
17,17,Lassen,12.5,2014,12.5,0.0
18,18,Los Angeles,10.9,2014,10.9,0.0
19,19,Madera,14.4,2014,14.4,0.0
20,20,Marin,6.3,2014,6.3,0.0
21,21,Mariposa,12.2,2014,12.2,0.0
22,22,Mendocino,10.0,2014,10.0,0.0
23,23,Merced,16.3,2014,16.3,0.0
24,24,Modoc,14.4,2014,14.4,0.0
25,25,Mono,10.3,2014,10.3,0.0
26,26,Monterey,11.6,2014,11.6,0.0
27,27,Napa,8.4,2014,8.4,0.0
28,28,Nevada,9.7,2014,9.7,0.0
29,29,Orange,7.9,2014,7.9,0.0
30,30,Placer,9.4,2014,9.4,0.0
31,31,Plumas,16.1,2014,16.1,0.0
32,32,Riverside,11.6,2014,11.6,0.0
33,33,Sacramento,10.5,2014,10.5,0.0
34,34,San Benito,13.0,2014,13.0,0.0
35,35,San Bernardino,11.4,2014,11.4,0.0
36,36,San Diego,9.1,2014,9.1,0.0
37,37,San Francisco,6.8,2014,6.8,0.0
38,38,San Joaquin,14.4,2014,14.4,0.0
39,39,San Luis Obispo,8.2,2014,8.2,0.0
40,40,San Mateo,6.4,2014,6.4,0.0
41,41,Santa Barbara,8.4,2014,8.4,0.0
42,42,Santa Clara,7.9,2014,7.9,0.0
43,43,Santa Cruz,11.8,2014,11.8,0.0
44,44,Shasta,14.2,2014,14.2,0.0
45,45,Sierra,14.4,2014,14.4,0.0
46,46,Siskiyou,15.6,2014,15.6,0.0
47,47,Solano,10.7,2014,10.7,0.0
48,48,Sonoma,8.9,2014,8.9,0.0
49,49,Stanislaus,14.9,2014,14.9,0.0
50,50,Sutter,16.8,2014,16.8,0.0
51,51,Tehama,13.7,2014,13.7,0.0
52,52,Trinity,14.6,2014,14.6,0.0
53,53,Tulare,16.2,2014,16.2,0.0
54,54,Tuolumne,13.0,2014,13.0,0.0
55,55,Ventura,9.1,2014,9.1,0.0
56,56,Yolo,10.6,2014,10.6,0.0
57,57,Yuba,15.4,2014,15.4,0.0
