,Unnamed: 0,County,netMigration,Year,netMigration2,netMigration3
12,12,Imperial,25,2014,25,0
5,5,Colusa,18.9,2014,18.9,0
50,50,Sutter,14.6,2014,14.6,0
23,23,Merced,14.5,2014,14.5,0
53,53,Tulare,14.4,2014,14.4,0
31,31,Plumas,13.8,2014,13.8,0
15,15,Kings,13.4,2014,13.4,0
9,9,Fresno,13.3,2014,13.3,0
57,57,Yuba,13.2,2014,13.2,0
46,46,Siskiyou,13.1,2014,13.1,0
49,49,Stanislaus,12.9,2014,12.9,0
45,45,Sierra,12.7,2014,12.7,0
19,19,Madera,12.6,2014,12.6,0
24,24,Modoc,12.3,2014,12.3,0
38,38,San Joaquin,12.3,2014,12.3,0
10,10,Glenn,12.1,2014,12.1,0
52,52,Trinity,11.9,2014,11.9,0
7,7,Del Norte,11.8,2014,11.8,0
44,44,Shasta,11.8,2014,11.8,0
14,14,Kern,11.7,2014,11.7,0
51,51,Tehama,11.6,2014,11.6,0
34,34,San Benito,11.1,2014,11.1,0
16,16,Lake,10.9,2014,10.9,0
54,54,Tuolumne,10.8,2014,10.8,0
17,17,Lassen,10.6,2014,10.6,0
21,21,Mariposa,10.5,2014,10.5,0
2,2,Amador,10.3,2014,10.3,0
3,3,Butte,10.3,2014,10.3,0
26,26,Monterey,10.3,2014,10.3,0
43,43,Santa Cruz,10.3,2014,10.3,0
4,4,Calaveras,9.9,2014,9.9,0
32,32,Riverside,9.9,2014,9.9,0
18,18,Los Angeles,9.8,2014,9.8,0
35,35,San Bernardino,9.8,2014,9.8,0
1,1,Alpine,9.7,2013,9.7,0
47,47,Solano,9.1,2014,9.1,0
56,56,Yolo,9,2014,9,0
33,33,Sacramento,8.9,2014,8.9,0
8,8,El Dorado,8.5,2014,8.5,0
25,25,Mono,8.5,2014,8.5,0
22,22,Mendocino,8.4,2014,8.4,0
11,11,Humboldt,8.1,2014,8.1,0
28,28,Nevada,8.1,2014,8.1,0
55,55,Ventura,7.9,2014,7.9,0
13,13,Inyo,7.8,2014,7.8,0
36,36,San Diego,7.8,2014,7.8,0
30,30,Placer,7.7,2014,7.7,0
6,6,Contra Costa,7.5,2014,7.5,0
0,0,Alameda,7.2,2014,7.2,0
41,41,Santa Barbara,7.2,2014,7.2,0
48,48,Sonoma,7.1,2014,7.1,0
27,27,Napa,6.9,2014,6.9,0
39,39,San Luis Obispo,6.8,2014,6.8,0
29,29,Orange,6.6,2014,6.6,0
42,42,Santa Clara,6.5,2014,6.5,0
37,37,San Francisco,5.5,2014,5.5,0
40,40,San Mateo,5.3,2014,5.3,0
20,20,Marin,5.2,2014,5.2,0
