,Unnamed: 0,County,netMigration,Year,netMigration2,netMigration3
12,12,Imperial,24,2014,24,0
5,5,Colusa,17.4,2014,17.4,0
53,53,Tulare,13.1,2014,13.1,0
23,23,Merced,12.8,2014,12.8,0
50,50,Sutter,12.6,2014,12.6,0
15,15,Kings,11.9,2014,11.9,0
9,9,Fresno,11.6,2014,11.6,0
31,31,Plumas,11.5,2014,11.5,0
19,19,Madera,11.2,2014,11.2,0
49,49,Stanislaus,11.2,2014,11.2,0
57,57,Yuba,11.2,2014,11.2,0
46,46,Siskiyou,11.1,2014,11.1,0
10,10,Glenn,10.7,2014,10.7,0
38,38,San Joaquin,10.5,2014,10.5,0
14,14,Kern,10.4,2014,10.4,0
24,24,Modoc,10.2,2014,10.2,0
7,7,Del Norte,10.1,2014,10.1,0
45,45,Sierra,10.1,2014,10.1,0
44,44,Shasta,9.6,2014,9.6,0
51,51,Tehama,9.6,2014,9.6,0
52,52,Trinity,9.4,2014,9.4,0
34,34,San Benito,9.3,2014,9.3,0
17,17,Lassen,9.1,2014,9.1,0
26,26,Monterey,9,2014,9,0
16,16,Lake,8.9,2014,8.9,0
21,21,Mariposa,8.8,2014,8.8,0
43,43,Santa Cruz,8.7,2014,8.7,0
3,3,Butte,8.6,2014,8.6,0
54,54,Tuolumne,8.6,2014,8.6,0
2,2,Amador,8.3,2014,8.3,0
18,18,Los Angeles,8.3,2014,8.3,0
1,1,Alpine,8.2,2013,8.2,0
32,32,Riverside,8.2,2014,8.2,0
4,4,Calaveras,8,2014,8,0
35,35,San Bernardino,8,2014,8,0
47,47,Solano,7.5,2014,7.5,0
56,56,Yolo,7.5,2014,7.5,0
33,33,Sacramento,7.3,2014,7.3,0
25,25,Mono,7.1,2014,7.1,0
8,8,El Dorado,7,2014,7,0
22,22,Mendocino,7,2014,7,0
13,13,Inyo,6.8,2014,6.8,0
11,11,Humboldt,6.7,2014,6.7,0
55,55,Ventura,6.6,2014,6.6,0
28,28,Nevada,6.5,2014,6.5,0
36,36,San Diego,6.4,2014,6.4,0
30,30,Placer,6.3,2014,6.3,0
6,6,Contra Costa,6.2,2014,6.2,0
41,41,Santa Barbara,6.1,2014,6.1,0
0,0,Alameda,5.8,2014,5.8,0
27,27,Napa,5.7,2014,5.7,0
39,39,San Luis Obispo,5.6,2014,5.6,0
48,48,Sonoma,5.6,2014,5.6,0
29,29,Orange,5.5,2014,5.5,0
42,42,Santa Clara,5.2,2014,5.2,0
37,37,San Francisco,4.4,2014,4.4,0
20,20,Marin,4.3,2014,4.3,0
40,40,San Mateo,4.2,2014,4.2,0
