,Unnamed: 0,County,netMigration,Year,netMigration2,netMigration3
12,12,Imperial,24.5,2014,24.5,0
5,5,Colusa,15.4,2014,15.4,0
53,53,Tulare,11.6,2014,11.6,0
23,23,Merced,11.4,2014,11.4,0
50,50,Sutter,10.7,2014,10.7,0
15,15,Kings,10.5,2014,10.5,0
19,19,Madera,10.5,2014,10.5,0
31,31,Plumas,10.3,2014,10.3,0
9,9,Fresno,10.2,2014,10.2,0
14,14,Kern,10.2,2014,10.2,0
49,49,Stanislaus,9.5,2014,9.5,0
46,46,Siskiyou,9.4,2014,9.4,0
57,57,Yuba,9.3,2014,9.3,0
38,38,San Joaquin,8.9,2014,8.9,0
10,10,Glenn,8.7,2014,8.7,0
45,45,Sierra,8.7,2014,8.7,0
24,24,Modoc,8.6,2014,8.6,0
7,7,Del Norte,8.5,2014,8.5,0
26,26,Monterey,8.1,2014,8.1,0
51,51,Tehama,7.9,2014,7.9,0
44,44,Shasta,7.8,2014,7.8,0
52,52,Trinity,7.8,2014,7.8,0
16,16,Lake,7.6,2014,7.6,0
34,34,San Benito,7.6,2014,7.6,0
43,43,Santa Cruz,7.5,2014,7.5,0
1,1,Alpine,7.3,2013,7.3,0
3,3,Butte,7.2,2014,7.2,0
17,17,Lassen,7.2,2014,7.2,0
21,21,Mariposa,7.1,2014,7.1,0
54,54,Tuolumne,7,2014,7,0
32,32,Riverside,6.7,2014,6.7,0
2,2,Amador,6.6,2014,6.6,0
18,18,Los Angeles,6.6,2014,6.6,0
56,56,Yolo,6.5,2014,6.5,0
4,4,Calaveras,6.4,2014,6.4,0
35,35,San Bernardino,6.4,2014,6.4,0
25,25,Mono,6.1,2014,6.1,0
47,47,Solano,6.1,2014,6.1,0
33,33,Sacramento,6,2014,6,0
13,13,Inyo,5.8,2014,5.8,0
22,22,Mendocino,5.8,2014,5.8,0
8,8,El Dorado,5.7,2014,5.7,0
11,11,Humboldt,5.6,2014,5.6,0
55,55,Ventura,5.6,2014,5.6,0
28,28,Nevada,5.4,2014,5.4,0
41,41,Santa Barbara,5.3,2014,5.3,0
36,36,San Diego,5.2,2014,5.2,0
30,30,Placer,5.1,2014,5.1,0
6,6,Contra Costa,5,2014,5,0
0,0,Alameda,4.7,2014,4.7,0
39,39,San Luis Obispo,4.7,2014,4.7,0
27,27,Napa,4.6,2014,4.6,0
29,29,Orange,4.5,2014,4.5,0
48,48,Sonoma,4.5,2014,4.5,0
42,42,Santa Clara,4.1,2014,4.1,0
20,20,Marin,3.6,2014,3.6,0
37,37,San Francisco,3.6,2014,3.6,0
40,40,San Mateo,3.4,2014,3.4,0
