,Unnamed: 0,County,netMigration,Year,netMigration2,netMigration3
12,12,Imperial,19.5,2014,19.5,0
5,5,Colusa,14.2,2014,14.2,0
53,53,Tulare,10.4,2014,10.4,0
23,23,Merced,9.4,2014,9.4,0
14,14,Kern,9.2,2014,9.2,0
15,15,Kings,8.9,2014,8.9,0
31,31,Plumas,8.9,2014,8.9,0
50,50,Sutter,8.7,2014,8.7,0
9,9,Fresno,8.5,2014,8.5,0
19,19,Madera,8.1,2014,8.1,0
24,24,Modoc,8.1,2014,8.1,0
10,10,Glenn,7.5,2014,7.5,0
49,49,Stanislaus,7.5,2014,7.5,0
57,57,Yuba,7.4,2014,7.4,0
26,26,Monterey,7.2,2014,7.2,0
46,46,Siskiyou,7.2,2014,7.2,0
38,38,San Joaquin,7,2014,7,0
45,45,Sierra,6.5,2014,6.5,0
7,7,Del Norte,6.4,2014,6.4,0
51,51,Tehama,6.4,2014,6.4,0
1,1,Alpine,6.2,2013,6.2,0
52,52,Trinity,6.2,2014,6.2,0
3,3,Butte,5.8,2014,5.8,0
16,16,Lake,5.8,2014,5.8,0
21,21,Mariposa,5.8,2014,5.8,0
34,34,San Benito,5.8,2014,5.8,0
44,44,Shasta,5.8,2014,5.8,0
43,43,Santa Cruz,5.7,2014,5.7,0
17,17,Lassen,5.5,2014,5.5,0
54,54,Tuolumne,5.4,2014,5.4,0
32,32,Riverside,5.2,2014,5.2,0
56,56,Yolo,5.1,2014,5.1,0
2,2,Amador,5,2014,5,0
35,35,San Bernardino,4.9,2014,4.9,0
18,18,Los Angeles,4.8,2014,4.8,0
47,47,Solano,4.8,2014,4.8,0
4,4,Calaveras,4.7,2014,4.7,0
33,33,Sacramento,4.7,2014,4.7,0
22,22,Mendocino,4.5,2014,4.5,0
41,41,Santa Barbara,4.5,2014,4.5,0
55,55,Ventura,4.5,2014,4.5,0
8,8,El Dorado,4.4,2014,4.4,0
13,13,Inyo,4.4,2014,4.4,0
25,25,Mono,4.4,2014,4.4,0
11,11,Humboldt,4.2,2014,4.2,0
28,28,Nevada,4.1,2014,4.1,0
36,36,San Diego,4,2014,4,0
30,30,Placer,3.9,2014,3.9,0
6,6,Contra Costa,3.8,2014,3.8,0
0,0,Alameda,3.7,2014,3.7,0
27,27,Napa,3.6,2014,3.6,0
39,39,San Luis Obispo,3.6,2014,3.6,0
29,29,Orange,3.5,2014,3.5,0
48,48,Sonoma,3.4,2014,3.4,0
42,42,Santa Clara,3.2,2014,3.2,0
20,20,Marin,2.9,2014,2.9,0
37,37,San Francisco,2.9,2014,2.9,0
40,40,San Mateo,2.7,2014,2.7,0
